Year,AccidentQuarter,Measure,ClaimType,Value
2019,201909,Ultimate Numbers (incl. nils),Windscreen,15019
2019,201912,Ultimate Numbers (incl. nils),Windscreen,13735
2020,202003,Ultimate Numbers (incl. nils),Windscreen,14418
2020,202006,Ultimate Numbers (incl. nils),Windscreen,11549
2020,202009,Ultimate Numbers (incl. nils),Windscreen,17104.163090000002
2020,202012,Ultimate Numbers (incl. nils),Windscreen,13275.1288
2021,202103,Ultimate Numbers (incl. nils),Windscreen,14516.31131
2021,202106,Ultimate Numbers (incl. nils),Windscreen,18731.35936
2021,202109,Ultimate Numbers (incl. nils),Windscreen,18366.36006
2021,202112,Ultimate Numbers (incl. nils),Windscreen,14153.42238
2022,202203,Ultimate Numbers (incl. nils),Windscreen,16599.79686
2022,202206,Ultimate Numbers (incl. nils),Windscreen,17912.09262
2022,202209,Ultimate Numbers (incl. nils),Windscreen,17471.09262
2022,202212,Ultimate Numbers (incl. nils),Windscreen,15072.51075
2023,202303,Ultimate Numbers (incl. nils),Windscreen,17997.888785
2023,202306,Ultimate Numbers (incl. nils),Windscreen,21236.743654
2023,202309,Ultimate Numbers (incl. nils),Windscreen,17916.098827
2023,202312,Ultimate Numbers (incl. nils),Windscreen,15724.550857
2024,202403,Ultimate Numbers (incl. nils),Windscreen,19112.403125
2024,202406,Ultimate Numbers (incl. nils),Windscreen,20953.240791
2024,202409,Ultimate Numbers (incl. nils),Windscreen,17746.920448
2024,202412,Ultimate Numbers (incl. nils),Windscreen,13070.063292
